                  epoch;         train/box_loss;         train/cls_loss;         train/dfl_loss;   metrics/precision(B);      metrics/recall(B);       metrics/mAP50(B);    metrics/mAP50-95(B);           val/box_loss;           val/cls_loss;           val/dfl_loss;                 lr/pg0;                 lr/pg1;                 lr/pg2
38;                0.28124;                 0.6033;                0.80458;                0.96871;                 0.9465;                0.98759;                0.96396;                0.23177;                0.30878;                0.77548;             0.00022977;             0.00022977;             0.00022977
39;                0.27557;                0.59276;                0.80408;                0.96687;                0.94828;                0.98777;                0.96427;                0.23087;                0.30388;                0.77522;             0.00022623;             0.00022623;             0.00022623
40;                0.27953;                0.60124;                0.80489;                0.96861;                0.94828;                0.98807;                0.96371;                0.23308;                0.30291;                0.77526;              0.0002227;              0.0002227;              0.0002227
41;                0.27211;                0.58558;                0.80318;                0.96851;                0.95164;                0.98846;                 0.9655;                 0.2286;                0.29769;                0.77476;             0.00021916;             0.00021916;             0.00021916
42;                0.27194;                0.58013;                 0.8033;                0.96838;                0.95324;                0.98863;                0.96552;                0.23083;                0.29688;                 0.7751;             0.00021563;             0.00021563;             0.00021563
43;                0.27244;                0.58052;                0.80286;                0.96781;                0.95227;                0.98877;                0.96618;                0.22846;                0.29312;                0.77441;             0.00021209;             0.00021209;             0.00021209
44;                0.26864;                0.57155;                 0.8027;                0.97067;                  0.953;                0.98905;                0.96678;                0.22694;                 0.2907;                0.77433;             0.00020856;             0.00020856;             0.00020856
45;                0.26863;                0.57096;                  0.803;                0.97093;                0.95252;                0.98932;                0.96748;                0.22537;                0.29078;                0.77416;             0.00020503;             0.00020503;             0.00020503
46;                0.26544;                0.56062;                0.80194;                0.97103;                0.95398;                0.98929;                0.96781;                0.22426;                0.28621;                0.77403;             0.00020149;             0.00020149;             0.00020149
47;                0.26447;                0.55913;                0.80156;                0.97231;                0.95485;                0.98975;                0.96823;                0.22314;                0.28472;                 0.7737;             0.00019796;             0.00019796;             0.00019796
48;                0.26436;                0.55879;                0.80138;                0.97103;                0.95456;                 0.9897;                0.96886;                0.22184;                0.28382;                0.77351;             0.00019442;             0.00019442;             0.00019442
49;                0.26437;                0.55832;                 0.8012;                0.97234;                0.95543;                0.98975;                0.96772;                0.22571;                0.28314;                0.77365;             0.00019089;             0.00019089;             0.00019089
50;                0.26162;                0.55318;                0.80115;                0.97214;                0.95415;                0.98973;                0.96918;                0.22007;                0.28272;                0.77325;             0.00018735;             0.00018735;             0.00018735
51;                0.26343;                0.55341;                0.80123;                0.97348;                0.95527;                0.99009;                0.96954;                0.22179;                0.28024;                0.77339;             0.00018382;             0.00018382;             0.00018382
52;                0.26082;                0.54611;                0.80062;                0.97343;                0.95613;                0.99016;                0.97012;                 0.2192;                0.27679;                0.77263;             0.00018028;             0.00018028;             0.00018028
53;                0.26132;                0.54239;                0.80048;                0.97302;                0.95827;                0.99037;                 0.9701;                0.21904;                0.27429;                0.77281;             0.00017675;             0.00017675;             0.00017675
54;                0.25781;                0.53858;                0.80034;                0.97386;                0.95619;                0.99036;                  0.971;                0.21679;                0.27498;                0.77235;             0.00017322;             0.00017322;             0.00017322
55;                0.25814;                0.53846;                0.79968;                0.97351;                  0.958;                0.99046;                0.97048;                0.21822;                0.27351;                0.77262;             0.00016968;             0.00016968;             0.00016968
56;                0.25476;                 0.5307;                0.80005;                0.97502;                0.95675;                0.99052;                0.97128;                0.21608;                0.27046;                0.77218;             0.00016615;             0.00016615;             0.00016615
57;                0.25324;                0.52824;                0.79996;                0.97427;                0.95965;                0.99087;                0.97153;                0.21655;                0.26765;                0.77217;             0.00016261;             0.00016261;             0.00016261
58;                0.25431;                0.52997;                0.79976;                0.97433;                0.96024;                0.99097;                0.97153;                0.21598;                0.26668;                0.77233;             0.00015908;             0.00015908;             0.00015908
59;                0.25274;                0.52592;                0.79934;                0.97433;                0.96046;                0.99097;                0.97215;                0.21425;                0.26503;                0.77198;             0.00015554;             0.00015554;             0.00015554
60;                 0.2515;                0.52232;                0.79906;                0.97324;                0.96213;                0.99111;                0.97214;                0.21407;                0.26348;                0.77182;             0.00015201;             0.00015201;             0.00015201
61;                 0.2545;                0.52349;                0.79904;                0.97429;                0.96105;                0.99102;                0.97226;                0.21383;                0.26289;                 0.7719;             0.00014848;             0.00014848;             0.00014848
62;                0.24983;                0.51676;                0.79855;                0.97732;                0.96004;                0.99124;                0.97271;                0.21338;                0.26043;                0.77187;             0.00014494;             0.00014494;             0.00014494
63;                 0.2505;                0.51918;                0.79852;                 0.9764;                0.96069;                0.99124;                 0.9729;                0.21202;                0.25996;                0.77167;             0.00014141;             0.00014141;             0.00014141
64;                 0.2499;                0.51622;                0.79894;                0.97585;                0.96232;                 0.9913;                0.97276;                0.21317;                0.25943;                0.77171;             0.00013787;             0.00013787;             0.00013787
65;                0.25243;                0.51963;                0.79927;                0.97569;                0.96243;                0.99123;                0.97299;                0.21194;                0.25875;                0.77159;             0.00013434;             0.00013434;             0.00013434
66;                 0.2485;                0.50951;                0.79819;                  0.978;                0.96165;                0.99139;                0.97281;                0.21273;                0.25707;                0.77156;              0.0001308;              0.0001308;              0.0001308
67;                0.24895;                0.50957;                0.79822;                0.97696;                0.96275;                0.99136;                0.97324;                0.21188;                0.25554;                0.77125;             0.00012727;             0.00012727;             0.00012727
68;                0.24643;                 0.5061;                0.79832;                0.97487;                0.96452;                0.99131;                0.97318;                0.21127;                0.25562;                0.77126;             0.00012374;             0.00012374;             0.00012374
69;                0.24641;                0.50789;                0.79798;                0.97917;                0.96109;                0.99145;                0.97359;                0.21025;                0.25425;                0.77108;              0.0001202;              0.0001202;              0.0001202
70;                0.24512;                0.50101;                0.79727;                0.97798;                0.96376;                0.99165;                0.97353;                0.21075;                0.25253;                0.77132;             0.00011667;             0.00011667;             0.00011667
71;                0.24632;                0.50238;                0.79699;                0.97771;                0.96356;                0.99166;                0.97367;                0.21013;                0.25236;                0.77122;             0.00011313;             0.00011313;             0.00011313
72;                 0.2455;                 0.5005;                0.79774;                0.97707;                0.96448;                0.99166;                 0.9736;                0.21009;                0.25117;                0.77101;              0.0001096;              0.0001096;              0.0001096
73;                0.24694;                0.50232;                0.79708;                 0.9773;                0.96469;                0.99166;                0.97417;                0.20883;                0.25057;                0.77097;             0.00010606;             0.00010606;             0.00010606
74;                0.23983;                0.49086;                0.79756;                0.97977;                0.96292;                0.99186;                0.97463;                 0.2085;                0.24896;                0.77086;             0.00010253;             0.00010253;             0.00010253
75;                0.24317;                0.49523;                0.79647;                0.97882;                0.96443;                0.99187;                0.97447;                0.20882;                0.24751;                0.77083;9,90E-01;9,90E-01;9,90E-01
76;                0.24149;                0.49159;                0.79689;                0.97768;                0.96614;                0.99202;                 0.9746;                0.20869;                0.24689;                0.77073;9,55E-01;9,55E-01;9,55E-01
77;                0.24109;                0.49083;                0.79617;                0.97984;                0.96485;                0.99203;                0.97491;                0.20828;                0.24562;                0.77076;9,19E-01;9,19E-01;9,19E-01
78;                0.24004;                0.48994;                0.79704;                0.97999;                0.96553;                0.99197;                0.97488;                0.20746;                0.24549;                0.77067;8,84E-01;8,84E-01;8,84E-01
79;                0.23868;                 0.4858;                0.79667;                0.98041;                0.96493;                0.99216;                0.97518;                0.20698;                0.24469;                0.77054;8,49E-01;8,49E-01;8,49E-01
80;                0.23924;                0.48612;                0.79599;                0.97854;                0.96568;                0.99207;                0.97529;                0.20716;                0.24507;                0.77067;8,13E-01;8,13E-01;8,13E-01
81;                 0.2382;                0.48211;                0.79628;                0.97915;                0.96593;                0.99201;                0.97509;                0.20665;                0.24376;                0.77066;7,78E-02;7,78E-02;7,78E-02
82;                0.23901;                0.48412;                0.79693;                0.97783;                0.96827;                0.99217;                0.97548;                0.20661;                 0.2432;                0.77047;7,43E-01;7,43E-01;7,43E-01
83;                0.23701;                0.48215;                0.79629;                0.97971;                 0.9669;                0.99227;                0.97506;                0.20704;                0.24158;                0.77058;7,07E-01;7,07E-01;7,07E-01
84;                0.23786;                0.48141;                0.79584;                0.98043;                0.96579;                0.99227;                0.97541;                0.20679;                0.24125;                 0.7706;6,72E-01;6,72E-01;6,72E-01
85;                 0.2344;                0.47375;                0.79554;                0.98094;                0.96611;                0.99228;                 0.9757;                0.20547;                0.24072;                0.77031;6,37E-01;6,37E-01;6,37E-01
86;                0.23742;                0.48181;                0.79633;                0.97932;                0.96758;                0.99224;                0.97544;                0.20644;                0.24131;                0.77052;6,01E-01;6,01E-01;6,01E-01
87;                0.23702;                0.47799;                0.79505;                0.98053;                0.96707;                0.99225;                0.97532;                 0.2066;                0.24057;                0.77042;5,66E-01;5,66E-01;5,66E-01
